行政區代碼,縣市,鄉鎮市區,109年底人口,114年底人口,近5年人口成長率_百分比,統計基準人口_11506,遷入人數_近12月,遷出人數_近12月,淨遷入人數_近12月,淨遷入率_千分比,出生數_近12月,死亡數_近12月,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比
10005100,苗栗縣,銅鑼鄉,17279,16079,-6.94,16174,542,422,120,7.42,53,181,3.28,11.19,-7.91
10005110,苗栗縣,南庄鄉,9573,8576,-10.41,8577,276,200,76,8.86,48,141,5.6,16.44,-10.84
10005120,苗栗縣,頭屋鄉,10240,9354,-8.65,9352,283,316,-33,-3.53,23,114,2.46,12.19,-9.73
10005130,苗栗縣,三義鄉,15665,14485,-7.53,14411,316,393,-77,-5.34,52,165,3.61,11.45,-7.84
10005140,苗栗縣,西湖鄉,6729,5875,-12.69,5843,150,176,-26,-4.45,20,91,3.42,15.57,-12.15
10005150,苗栗縣,造橋鄉,12177,11548,-5.17,11480,425,441,-16,-1.39,27,155,2.35,13.5,-11.15
10005160,苗栗縣,三灣鄉,6364,5664,-11.0,5700,206,149,57,10.0,17,94,2.98,16.49,-13.51
10005170,苗栗縣,獅潭鄉,4158,3943,-5.17,3936,163,120,43,10.92,12,97,3.05,24.64,-21.6
10005180,苗栗縣,泰安鄉,5782,5401,-6.59,5436,230,202,28,5.15,45,79,8.28,14.53,-6.25
10007010,彰化縣,彰化市,231317,220487,-4.68,219165,4239,6017,-1778,-8.11,958,1766,4.37,8.06,-3.69
